tensor.data,tensor.data.shape,tensor.index_set
1.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        1.0+0.0j        0.0+0.0j,2 2 2 2 2 2,x2:0 x2_1:0 x4:0 x4_1:0 x5:0 x5_1:0
1.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        1.0+0.0j        0.0+0.0j,2 2 2 2 2 2,x0:0 x0_1:0 x1:0 x1_1:0 x4_1:0 x4_2:0
1.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        1.0+0.0j        0.0+0.0j,2 2 2 2 2 2,x2_1:0 x2_2:0 x4_2:0 x4_3:0 x5_1:0 x5_2:0
1.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        1.0+0.0j        0.0+0.0j,2 2 2 2 2 2,x0_1:0 x0_2:0 x1_1:0 x1_2:0 x4_3:0 x4_4:0
1.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        1.0+0.0j        0.0+0.0j,2 2 2 2 2 2,x3:0 x3_1:0 x5_2:0 x5_3:0 x4_4:0 x4_5:0
1.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        1.0+0.0j        0.0+0.0j,2 2 2 2 2 2,x2_2:0 x2_3:0 x4_5:0 x4_6:0 x5_3:0 x5_4:0
1.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        1.0+0.0j        0.0+0.0j,2 2 2 2 2 2,x0_2:0 x0_3:0 x1_2:0 x1_3:0 x4_6:0 x4_7:0
1.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        1.0+0.0j        0.0+0.0j,2 2 2 2 2 2,x2_3:0 x2_4:0 x4_7:0 x4_8:0 x5_4:0 x5_5:0
1.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        1.0+0.0j        0.0+0.0j,2 2 2 2 2 2,x0_3:0 x0_4:0 x1_3:0 x1_4:0 x4_8:0 x4_9:0
1.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        1.0+0.0j        0.0+0.0j,2 2 2 2 2 2,x3_1:0 x3_2:0 x5_5:0 x5_6:0 x4_9:0 y4:0
